,Name,ex_scroll,total_app,offset,min
579,PANTALON 2,0,1,0,1
580,FURIA PLUS,0,1,0,1
581,HYMERTIME,0,1,0,1
582,F**K TRUMP!,0,1,0,1
583,POMPOUS POMPADOUR,0,1,0,1
584,TETRA,0,1,0,1
585,WITHIT,0,1,0,1
586,SO EASY,0,1,0,1
587,EAT.SLEER MOONBOARD,0,1,0,1
588,AN ADVENTURE,0,1,0,1
589,WALTER HOTTLEBOTTLE,0,1,0,1
590,THE BENDING CROSS,0,1,0,1
591,WIKTORS KOSEL@YPE,0,1,0,1
592,CHIX OR EGG,0,1,0,1
593,K2,1,28,0,9
594,XAHA,0,1,0,1
595,CAROGNA,0,1,0,1
596,COBRA PLUS,0,1,0,1
597,STAND UP,0,1,0,1
598,RUSTY MORNING,0,1,0,1
599,MOLCOM,0,1,0,1
600,CHIUSA,0,1,0,1
601,MANNA,0,1,0,1
602,BALLA,0,1,0,1
603,CIUPPA,0,1,0,1
604,SHORT ROUND VAR,0,1,0,1
605,GETTING STARTED,0,1,0,1
606,MOON VARIANT,0,1,0,1
607,ORION,0,1,0,1
608,SORRENTO,0,1,0,1
609,"GOD, I'M FAT...",0,1,0,1
610,FAT OLD MAN,0,1,0,1
611,EASYISH,0,1,0,1
612,PORTATILE,0,1,0,1
613,MY IDEA ?,0,1,0,1
614,THE SENDTRAIN,0,1,0,1
615,5 FINGER DISCOUNT,0,1,0,1
616,TEMPORARY BADNESS,0,1,0,1
617,TOKYO SEX WHALE,0,1,0,1
618,HORRORGAMI,0,1,0,1
619,TOKYO ABSTINENCE WHALE,0,1,0,1
620,TRIM THE FAT,0,1,0,1
621,CASA CC,0,1,0,1
622,EYEN,0,1,0,1
623,DESTINY'S GRANDMA,0,1,0,1
624,ONE MOVE WONDER,0,1,0,1
625,THE PROJ,0,1,0,1
626,NORTHSIDE,0,1,0,1
627,SWIMMING GOAT,0,1,0,1
628,SWIM AND GO,0,1,0,1
629,HOLD THE HAND INSIDE,0,1,0,1
630,EGGGSSS,0,1,0,1
631,GIT'ER,0,1,0,1
632,BIRTH CONTROL,0,1,0,1
633,CRIMPS &AMP; GIGGLES,0,1,0,1
634,PASSIVE AGGRESSION,0,1,0,1
635,CRYPTACRIMP,0,1,0,1
636,BLAME THE WIND,0,1,0,1
637,FAIR WEATHER FRIEND,0,1,0,1
638,QUY'S WARM UP,0,1,0,1
639,I KNOW KUNG-FAUX,0,1,0,1
640,CILINDRO,0,1,0,1
641,POCKET ROCKET,0,1,0,1
642,HORROR AWRIST,0,1,0,1
643,KVOTHE,0,1,0,1
644,NO REAL SCOTSMAN,0,1,0,1
645,DILOPHOSAURUS,0,1,0,1
646,TROODON REPOSING,0,1,0,1
647,SPINNING BLADE,0,1,0,1
648,SPINNING BLADE VARIANT,0,1,0,1
649,LESS IS MORE,0,3,1,3
650,TJ.BRC.1,0,1,0,1
651,ACG26,0,1,0,1
652,MATT USES A SUPERCOMPUTER,0,1,0,1
653,DANISH OIL,0,1,0,1
654,THREE AMIGOS,0,1,0,1
655,WICKED,0,1,0,1
656,HEIGHT DEPENDENT,0,1,0,1
657,PAINFUL MUCH?,0,1,0,1
658,ACG27,0,1,0,1
659,ACG28,0,1,0,1
660,CARNO TAUROS,0,1,0,1
661,SUNSET CLIMBING,0,1,0,1
662,THYS,0,1,0,1
663,TAME,0,1,0,1
664,LEATHERBACK,0,1,0,1
665,REG GRUNDY,0,1,0,1
666,AUSTRORAPTOR,0,1,0,1
667,THUNDERBUTT,0,1,0,1
668,EVENING SESSION,0,1,0,1
669,WELCOME TO THE JUNGLE,0,1,0,1
670,PIERE TUUBAAN,0,1,0,1
671,TRIPLE HEELY,0,1,0,1
672,BUSTED SHADOW,0,1,0,1
673,BUSTED SHADOW RIGHT,0,1,0,1
674,FAIR WEATHER FRIEND 2.0,0,1,0,1
675,Ss,0,1,0,1
676,CHINESE POLE DANCING,0,1,0,1
677,ASHER GOES TO SCHOOL,0,1,0,1
678,JV IS NUMBER 1,0,1,0,1
679,SOPHIE'S QUESTIONS (V3),0,1,0,1
680,NATALIE ROCKS IT (V3),0,1,0,1
681,SPOONBILL,0,1,0,1
682,MONKEY,2,85,0,9
683,PANTALON 3,0,1,0,1
